rooms,floor,totfloors,lon,lat,m2,price
2,5,10,39.617276,47.213742,52.00,3200000
2,9,16,39.619198,47.231753,70.00,4500000
1,8,9,39.800964,47.282631,37.00,2190000
3,7,14,39.729009,47.301748,110.00,6000000
1,1,3,39.817798,47.265897,31.00,1600000
1,2,16,39.621319,47.215713,39.00,2200000
2,1,2,39.80762,47.236433,40.20,2260000
0,6,9,39.740309,47.296811,30.00,1890000
1,6,10,39.762192,47.286042,35.00,2400000
1,7,18,39.638261,47.256975,40.00,2980000
1,13,26,39.621992,47.194029,41.00,1785000
3,5,9,39.683203,47.230535,60.00,4600000
4,3,14,39.709497,47.290449,83.00,4500000
3,9,17,39.750865,47.22537,86.00,7300000
3,19,21,39.697208,47.28856,145.00,5700000
1,1,5,39.638791,47.21283,29.00,2050000
2,2,9,39.654152,47.261861,64.00,3800000
2,18,22,39.759776,47.237155,80.00,7000000
1,2,5,39.69958,47.249629,32.00,2400000
1,3,3,39.676475,47.241891,19.00,1300000
1,5,5,39.706614,47.255427,35.00,2160000
2,2,10,39.763216,47.281714,51.00,3500000
1,12,26,39.630194,47.200617,38.30,1850000
0,3,5,39.822927,47.237345,18.00,1550000
1,8,9,39.702688,47.297306,23.00,1800000
2,8,9,39.706164,47.231343,42.00,3700000
1,9,10,39.734398,47.300832,43.50,2600000
1,6,10,39.621211,47.216496,38.00,1800000
3,4,10,39.719909,47.22772,79.00,7100000
3,3,8,39.719783,47.286903,114.00,8900000
4,6,9,39.828883,47.239199,80.00,3500000
1,2,5,39.63509,47.206072,30.60,2200000
1,8,23,39.622441,47.216062,34.00,1695000
1,8,11,39.72758,47.249476,48.00,3170000
2,3,8,39.733815,47.267053,63.00,3120000
1,4,10,39.705329,47.290112,31.00,1760000
1,3,5,39.679233,47.27041,31.00,1890000
3,2,5,39.757629,47.274616,51.00,2800000
1,5,9,39.716513,47.279348,38.00,2600000
2,2,5,39.70558,47.28499,48.00,2500000
0,3,9,39.756488,47.28507,40.00,1750000
2,2,10,39.736572,47.293627,70.00,3950000
1,10,23,39.702508,47.281249,35.00,2040000
1,2,5,39.6714,47.222819,31.00,2000000
1,1,4,39.757476,47.232964,12.00,850000
3,6,10,39.799194,47.23718,105.00,7600000
1,4,7,39.689716,47.265316,22.00,1430000
2,6,9,39.829458,47.244056,66.00,3950000
3,9,10,39.735216,47.232518,85.00,5800000
1,3,12,39.621319,47.215713,37.00,2100000
1,7,18,39.703928,47.29568,43.00,3450000
1,5,6,39.802904,47.236513,31.00,2070000
3,4,10,39.727993,47.249482,92.00,5400000
5,17,18,39.711967,47.295973,140.00,6200000
3,2,9,39.654152,47.261861,64.00,3800000
4,14,15,39.714429,47.280399,139.00,10000000
3,7,9,39.689492,47.292673,64.00,3100000
1,2,17,39.631982,47.218773,54.00,3350000
1,17,20,39.626241,47.197403,42.00,2450000
3,5,23,39.731838,47.226802,104.00,12500000
1,14,25,39.677688,47.197862,41.00,1740000
2,2,9,39.665525,47.266496,44.00,2700000
3,1,5,39.6547,47.203899,110.00,5575000
2,9,9,39.703793,47.296909,53.00,2800000
1,17,17,39.703317,47.29843,38.00,1950000
0,3,9,39.743319,47.296597,31.00,1550000
3,2,4,39.650011,47.201933,117.00,5970000
3,14,23,39.697576,47.241157,92.00,5500000
2,2,5,39.80903,47.240588,44.00,2800000
4,3,14,39.741845,47.25054,105.00,4900000
1,12,14,39.714285,47.296438,46.00,3300000
1,3,5,39.747388,47.272354,33.00,1850000
3,6,9,39.713656,47.299561,67.00,3200000
2,11,16,39.619791,47.229972,56.00,3200000
3,6,12,39.709497,47.290449,90.00,6700000
3,8,21,39.74269,47.249647,84.00,4050000
1,4,10,39.80391,47.262393,41.00,2767000
